Show Title,Actors,Rating
Dr. Horrible's Sing-Along Blog,"['Neil Patrick Harris', ' Nathan Fillion']",8.4
Clannad: After Story,"['Yûichi Nakamura', ' David Matranga']",8.4
Community,"['Joel McHale', ' Danny Pudi']",8.4
Vikings,"['Katheryn Winnick', ' Gustaf Skarsgård']",8.4
Hilda,"['Bella Ramsey', ' Ameerah Falzon-Ojo']",8.4
Meme Review,"['Felix Kjellberg', ' Elon Musk']",8.4
L'amica geniale,"['Alba Rohrwacher', ' Margherita Mazzucco']",8.4
Ezel,"['Kenan Imirzalioglu', ' Cansu Dere']",8.4
Feud,"['Jessica Lange', ' Susan Sarandon']",8.4
Luther,"['Idris Elba', ' Dermot Crowley']",8.4
Sseulsseulhago Chalranhashin: Dokkaebi,"['Yoo Gong', ' Go-eun Kim']",8.4
The Venture Bros.,"['Christopher McCulloch', ' James Urbaniak']",8.4
Boku no hîrô akademia,"['Daiki Yamashita', ' Justin Briner']",8.4
The Knick,"['Clive Owen', ' André Holland']",8.4
Samurai Jack,"['Phil LaMarr', ' Mako']",8.4
The Family Man,"['Manoj Bajpayee', ' Sharib Hashmi']",8.4
Kôkaku kidôtai: Stand Alone Complex,"['Shirô Saitô', ' Mary Elizabeth McGlynn']",8.4
Romanzo criminale - La serie,"['Vinicio Marchioni', ' Alessandro Roja']",8.4
Delhi Crime,"['Shefali Shah', ' Rajesh Tailang']",8.4
Rurôni Kenshin - Meiji kenkaku romantan,"['Mayo Suzukaze', ' Richard Cansino']",8.4
Gintama,"['Tomokazu Sugita', ' Daisuke Sakaguchi']",8.4
