Movie Title,Actors,Director,Rating
The Bridge on the River Kwai,"[' William Holden', ' Alec Guinness']",['David Lean (dir.)'],8.1
Stalker,"[' Alisa Freyndlikh', ' Aleksandr Kaydanovskiy']",['Andrei Tarkovsky (dir.)'],8.1
Kill Bill: Vol. 1,"[' Uma Thurman', ' David Carradine']",['Quentin Tarantino (dir.)'],8.1
Fargo,"[' William H. Macy', ' Frances McDormand']",['Joel Coen (dir.)'],8.1
The Third Man,"[' Orson Welles', ' Joseph Cotten']",['Carol Reed (dir.)'],8.1
On the Waterfront,"[' Marlon Brando', ' Karl Malden']",['Elia Kazan (dir.)'],8.1
Gran Torino,"[' Clint Eastwood', ' Bee Vang']",['Clint Eastwood (dir.)'],8.1
Tôkyô monogatari,"[' Chishû Ryû', ' Chieko Higashiyama']",['Yasujirô Ozu (dir.)'],8.1
Salinui chueok,"[' Kang-ho Song', ' Sang-kyung Kim']",['Bong Joon Ho (dir.)'],8.1
The Deer Hunter,"[' Robert De Niro', ' Christopher Walken']",['Michael Cimino (dir.)'],8.1
Relatos salvajes,"[' Darío Grandinetti', ' María Marull']",['Damián Szifron (dir.)'],8.1
Klaus,"[' Jason Schwartzman', ' J.K. Simmons']",['Sergio Pablos (dir.)'],8.1
Andhadhun,"[' Ayushmann Khurrana', ' Tabu']",['Sriram Raghavan (dir.)'],8.1
In the Name of the Father,"[' Daniel Day-Lewis', ' Pete Postlethwaite']",['Jim Sheridan (dir.)'],8.1
Mary and Max,"[' Toni Collette', ' Philip Seymour Hoffman']",['Adam Elliot (dir.)'],8.1
Eskiya,"[' Sener Sen', ' Ugur Yücel']",['Yavuz Turgul (dir.)'],8.1
The Big Lebowski,"[' Jeff Bridges', ' John Goodman']",['Joel Coen (dir.)'],8.1
Gone Girl,"[' Ben Affleck', ' Rosamund Pike']",['David Fincher (dir.)'],8.1
Hacksaw Ridge,"[' Andrew Garfield', ' Sam Worthington']",['Mel Gibson (dir.)'],8.1
The Grand Budapest Hotel,"[' Ralph Fiennes', ' F. Murray Abraham']",['Wes Anderson (dir.)'],8.1
Before Sunrise,"[' Ethan Hawke', ' Julie Delpy']",['Richard Linklater (dir.)'],8.1
Persona,"[' Bibi Andersson', ' Liv Ullmann']",['Ingmar Bergman (dir.)'],8.1
Catch Me If You Can,"[' Leonardo DiCaprio', ' Tom Hanks']",['Steven Spielberg (dir.)'],8.1
To Be or Not to Be,"[' Carole Lombard', ' Jack Benny']",['Ernst Lubitsch (dir.)'],8.1
Ford v Ferrari,"[' Matt Damon', ' Christian Bale']",['James Mangold (dir.)'],8.1
